
Cash,CASH,$,6795.60,$1.00
Technology,ALPHABET,GOOG,6,$2784.26
Technology,APPLE,AAPL,84,$174.83
Technology,APPLIED MATERIALS,AMAT,55,$138.75
Technology,MICROSOFT CORP,MSFT,70,$304.56
Technology,QUALCOMM INC,QCOM,33,$178.59
Technology,VERIZON COMMUNICATION,VZ,51,$52.82
Consumer,ANHEUSER BUSCH,BUD,25,$62.07
Consumer,CAMPBELL SOUP,CPB,65,$43.62
Consumer,COSTCO WHOLESALE,COST,7,$521.15
Consumer,HOME DEPOT INC,HD,8,$361.44
Consumer,NIKE,NKE,60,$143.53
Consumer,ULTA BEAUTY,ULTA,2,$364.23
Consumer,WALMART,WMT,40,$137.99
Financials,BANK OF AMERICA,BAC,89,$49.38
Financials,BLACKSTONE,BX,69,$128.71
Financials,LAMAR ADVERTISING,LAMR,22,$110.68
Financials,PJT PARTNERS,PJT,22,$64.38
Financials,W R BERKLEY CORP,WRB,55,$92.80
Energy,BROOKFIELD RENEW PARTNERS,BEP,60,$33.51
Energy,FIRST SOLAR,FSLR,55,$70.39
Energy,ONEOK INC,OKE,41,$62.73
Energy,PHILLIPS 66,PSX,27,$88.82
Healthcare,CVS HEALTH CORP,CVS,47,$110.83
Healthcare,IQVIA HOLDINGS INC,IQV,29,$247.37
Healthcare,MEDTRONIC,MDT,26,$104.21
Healthcare,ZIMMER BIOMET INC,ZBH,26,$119.88
Industrials,CARRIER GLOBAL CORP,CARR,25,$46.06
Industrials,CSX CORP,CSX,120,$34.11
Industrials,ESSENTIAL UTILS INC,WTRG,37,$47.17
Industrials,NUTRIEN LTD,NTR,60,$74.30
Industrials,OTIS WORLDWIDE CORP,OTIS,12,$84.07
Industrials,RAYTHEON TECHNOLOGIES CORP,RTX,25,$95.07
Industrials,ROCKWELL AUTOMATION INC,ROK,11,$281.03
Industrials,WASTE MANAGEMENT INC,WM,14,$145.15
